unique_id,text,language,avg_links_len,avg_max_depth,avg_subordinate_chain_len,avg_verb_edges,n_tokens,question_type,complexity_score
ru_content_196,Как можно купить это?,ru,-1.045,-0.955,1.0,0.25,1.792,0,1.042
ru_content_478,Единственными насущными вопросами были: как противостоять влиянию ночи?,ru,-0.474,0.045,0.0,0.333,2.398,0,2.302
ru_polar_134,"Мне отправляют антидепрессант, будут ли в сдэк проверять содержимое?",ru,0.211,-0.603,0.0,0.6,2.485,1,2.693
ru_content_684,Что это и как от него избавиться?,ru,0.621,0.045,0.0,0.5,2.197,0,3.363
ru_polar_121,"В интернете это написано, но правда ли это?",ru,-0.021,-0.603,0.0,0.6,2.398,1,2.374
ru_polar_162,"Подскажите, у кошки болит лапа, хромает, есть ли на снимке отклонения?",ru,0.236,0.397,0.0,0.4,2.773,1,3.806
ru_content_621,Что помогло Гарри получить зелье Удачи?,ru,-0.845,0.045,1.0,0.333,2.079,0,2.612
ru_content_473,"Во время первого раза почти все даже взрослые женщины обычно не испытывают оргазм, что уж говорить о 13 летней?",ru,0.177,0.045,0.0,0.667,3.091,0,3.98
ru_content_162,А как же защита персональных данных?,ru,-0.645,0.045,0.0,0.0,2.079,0,1.479
ru_polar_188,И есть ли у вас знакомые?,ru,-0.164,-1.603,0.0,0.8,2.079,1,1.112
ru_polar_16,Отмечались ли случаи заражения бешенством от белки?,ru,-0.664,0.397,0.0,0.4,2.197,1,2.33
ru_polar_52,"Подскажите, будут ли проблемы с этим, или сейчас можно спокойно съездить туда-назад без всякий самоизоляций?",ru,0.236,0.397,1.0,0.533,3.045,1,5.211
ru_polar_59,"Могут ли у меня отобрать гражданство, если буду более года отсутвовать?",ru,0.836,-0.603,1.0,0.467,2.639,1,4.339
ru_content_377,И почему друзей разрешается иметь только до десяти тысяч включительно?,ru,0.066,0.045,1.0,0.417,2.485,0,4.013
ru_polar_136,"Если просто разбавить водой, останется ли цвет на одежде?",ru,-0.289,-1.603,1.0,0.7,2.485,1,2.293
ru_content_371,"Вот теперь, спустя ещё месяц стояния в шкафу, мне стало интересно: ""А что собственно за субстанция у меня поселилась?""",ru,0.955,2.045,0.0,0.5,3.258,0,6.758
ru_content_111,А что вы могли бы посоветовать для нормализации стула?,ru,-0.17,0.045,1.0,0.417,2.398,0,3.69
ru_polar_46,"И видел ли хоть кто-то, что кого-то не пускают из-за температуры?",ru,0.136,-0.603,1.0,0.8,2.639,1,3.972
ru_content_579,Женщинам ? а тетки от 49 сидят как думаете? на них высок спрос....,ru,0.955,1.045,0.0,0.5,2.773,0,5.273
ru_polar_61,Хватит ли мне 250 тысеч тенге переехать в вам?,ru,0.211,-0.603,1.0,0.5,2.398,1,3.506
ru_content_178,Солнце и море - что ещё надо для хорошего настроения?,ru,0.205,0.045,0.0,0.5,2.485,0,3.235
ru_content_137,"Щемит сердце,частичное онемение левого мизинца,потоотделение при еде или движении,если лежу то сердце как бы стучит в голове -мне 49лет -куда обратиться и что это может быть?",ru,1.61,1.045,1.0,0.472,3.611,0,7.738
ru_polar_113,Законно ли то что они мне прислали?,ru,0.002,-0.603,1.0,0.6,2.197,1,3.196
ru_polar_144,Будет ли это работать?,ru,-0.164,-2.603,0.0,0.4,1.792,1,-0.575
ru_polar_44,Летал ли кто-то с такой температурой недавно?,ru,0.336,-0.603,0.0,0.6,2.197,1,2.53
ru_polar_94,"Если азиат плохо видеть, может ли он щурится чтобы лучше видеть?",ru,-0.164,-0.603,1.5,0.5,2.639,1,3.872
ru_content_388,У кого остались скрины этих видео или сами видео?,ru,-0.295,0.045,0.0,0.333,2.398,0,2.481
ru_content_505,Что может быть причиной этого и как исправить?,ru,-0.045,-0.955,1.0,0.417,2.303,0,2.72
ru_content_544,Что привлекает в Ученом как в человеке каждую из них?,ru,0.288,0.045,0.0,0.667,2.485,0,3.485
ru_content_432,Как мне с ней себя вести?,ru,0.555,-0.955,0.0,0.667,2.079,0,2.346
ru_content_132,"Почему считаете, что молока стало меньше и малыш не наедается?",ru,0.177,0.045,1.0,0.5,2.565,0,4.287
ru_polar_18,Используете ли пустышку?,ru,-0.664,-2.603,0.0,0.4,1.609,1,-1.258
ru_polar_75,"Хочу поменять его на что-то чёрное, стоит ли?",ru,-0.021,-0.603,1.0,0.333,2.398,1,3.107
ru_content_86,Но почему он не слышал ее раньше?,ru,0.121,-1.955,0.0,1.0,2.197,0,1.363
ru_polar_64,Аоезда скорые или автобусы идут ли?,ru,-0.164,-0.603,0.0,0.4,2.079,1,1.712
ru_polar_114,И могу ли я подать заявление в прокуратуру ?,ru,-0.593,0.397,1.0,0.5,2.303,1,3.607
ru_content_361,А сам ботинок из другого материала кто подскажет?,ru,-0.331,0.045,0.0,0.167,2.303,0,2.184
ru_polar_106,Можно ли копать чермет с металлоискателем не нарушая закон?,ru,-0.414,0.397,2.0,0.4,2.398,1,4.781
ru_polar_92,Можно ли как-то сделать её чёрной?,ru,-0.564,-1.603,1.0,0.5,2.079,1,1.412
ru_polar_165,Нужно ли сохранять такие цветы на зиму или выбрасывать?,ru,0.086,-0.603,1.0,0.4,2.398,1,3.281
ru_polar_76,Пальто предназначено на осеннюю погоду до -10 Выглядит ли оно красиво?,ru,0.199,-0.603,0.0,0.6,2.639,1,2.835
ru_polar_131,Готов ли организм девочки к сексу в таком возрасте?,ru,-0.164,-0.603,0.0,0.0,2.398,1,1.631
ru_polar_39,Посадят ли его на самолёт? и что его ждёт по прилёту?,ru,0.436,-0.603,0.0,0.8,2.639,1,3.272
ru_polar_142,"И правилен ли перевод предложения ""Я бегу на помощь подруге""?",ru,-0.164,-0.603,0.0,0.6,2.639,1,2.472
ru_content_52,Куда можно пойти в Сочи?,ru,-0.545,-0.955,1.0,0.25,1.946,0,1.696
ru_content_274,Или какая прическа мне подойдет?,ru,-0.045,-0.955,0.0,0.5,1.946,0,1.446
ru_polar_5,Есть ли крыша над головой?,ru,-0.664,-0.603,0.0,0.4,1.946,1,1.079
ru_content_464,"В общем как вы считаете, это нормально?",ru,-0.212,-0.955,0.0,0.667,2.303,0,1.803
ru_content_529,Что мне сделать если даже запахи и остались?,ru,0.24,0.045,1.0,0.5,2.303,0,4.088
ru_polar_34,"Скажите пожалуйста, стоит ли мне идти к врачу, и чем нужно это лечить?",ru,0.252,0.397,1.5,0.45,2.833,1,5.432
ru_polar_12,Подскажите нужно ли обращаться за помощью?,ru,-0.764,0.397,1.0,0.2,2.079,1,2.912
ru_polar_105,Могу ли я выходить на работу если результаты еще не пришли?,ru,0.736,-0.603,1.0,0.6,2.565,1,4.298
ru_content_635,"Если польский, украинский и русский можно сказать, что славянские языки, а японский, китайский и корейский - восточные, то как можно обьяденить французский, немецкий и английский языки?",ru,2.121,4.045,1.5,0.333,3.526,0,11.525
ru_content_96,"- Значит, что же -- они нас даже и не заметили?",ru,1.205,-0.955,0.0,0.5,2.639,0,3.389
ru_polar_182,Будет ли счастье в семье разлучницы или разлучника?,ru,-0.164,-0.603,0.0,0.0,2.303,1,1.536
ru_content_623,Прислужником кого был Саурон?,ru,-0.045,-1.955,0.0,0.0,1.792,0,-0.208
ru_content_85,"""Что с тобой случится?— сказали ему.",ru,-0.245,-0.955,0.0,0.333,2.398,0,1.531
ru_content_605,Что это значит и почему это так?,ru,0.121,-0.955,0.0,0.5,2.197,0,1.863
ru_polar_167,Можно ли прийти в турагентство и спросить набирают ли они группу для такого полета?,ru,-0.087,1.397,1.0,0.5,2.773,1,5.583
ru_content_392,Кто на алиэкспрессе продаёт алмазную мозаику на подрамнике?,ru,-0.188,-0.955,0.0,0.667,2.303,0,1.827
ru_content_652,"Знаете, где можно научиться мнемотехнике?",ru,-0.295,0.045,2.0,0.222,2.079,0,4.051
ru_polar_103,"Есть ли в сети полноценная статья, где указывается, что можно?",ru,-0.053,0.397,2.0,0.4,2.639,1,5.383
ru_polar_2,"Ты помнишь ли, что я Еще живу в сем мире?",ru,0.058,-0.603,1.0,0.7,2.565,1,3.72
ru_polar_50,Нормально ли будет в нём спать без палатки?,ru,-0.307,-0.603,1.0,0.4,2.303,1,2.793
ru_polar_140,Вопрос такой: можно ли с ней не гулять?,ru,-0.164,0.397,1.0,0.4,2.398,1,4.031
ru_content_516,Подскажите как называется эта модель кроссовок adidas?,ru,-0.712,1.045,0.0,0.25,2.197,0,2.78
ru_content_51,А что для вас настоящее счастье?,ru,0.555,-0.955,0.0,0.0,2.079,0,1.679
ru_polar_54,Обязаны ли меня поселить по ксероксу?,ru,-0.564,-0.603,1.0,0.4,2.079,1,2.312
ru_content_339,"И да, почему длина стельки почти больше на 1 см чем длина стопы?",ru,0.871,-0.955,0.0,0.0,2.773,0,2.689
ru_content_340,"Я ничего не понял, как понять, обучили меня смешарики чему-то?",ru,0.288,-0.955,0.0,0.5,2.639,0,2.472
ru_content_359,Что это за фигня?,ru,-0.045,-1.955,0.0,0.0,1.792,0,-0.208
ru_polar_22,Можно ли лечить пищевую аллергию?,ru,-0.664,-0.603,1.0,0.3,1.946,1,1.979
ru_polar_117,Сюда же вопрос: часто ли машинисты переходят с работы на пассажирском поезде к работе на грузовом и наоборот?,ru,-0.047,2.397,0.0,0.8,3.045,1,6.195
ru_polar_91,Есть ли еще грибы в лесу?,ru,-0.564,-0.603,0.0,0.4,2.079,1,1.312
ru_polar_24,Так можно ли это все назвать аллергией?,ru,-0.498,-0.603,1.0,0.5,2.197,1,2.596
ru_polar_83,"Рост 168 см, какой размер свитшота будет выбрать правильнее, и подойдёт ли размер 44/46 RUS?",ru,-0.093,1.397,2.0,0.4,2.944,1,6.648
ru_polar_164,"Если мне будет мастурбировать чувак, пока я буду смотреть на нюдесы его девушки, будет ли он считаться куколдом?",ru,0.365,-0.603,1.0,0.8,3.091,1,4.653
ru_content_612,"Кто придумал, как создали и кто поет в песне гобафон?",ru,-0.045,0.045,0.0,0.389,2.565,0,2.954
ru_content_458,Есть идеи как поймать ее?,ru,-0.795,0.045,1.0,0.25,1.946,0,2.446
ru_content_282,Кто собирается лететь за рубеж?,ru,-0.795,0.045,1.0,0.25,1.946,0,2.446
ru_content_555,Как можно узнать еще больше информации?,ru,-0.445,1.045,1.0,0.25,2.079,0,3.929
ru_content_258,"Везде одна синтетика и понты, почему люди забывают классическую одежду?",ru,0.177,0.045,0.0,0.5,2.565,0,3.287
ru_content_486,Что вы думаете на счет моего мышления?,ru,-0.045,0.045,0.0,0.5,2.197,0,2.697
ru_polar_63,Будут ли трудности поездкой?,ru,-0.831,-2.603,0.0,0.0,1.792,1,-1.642
ru_content_25,и самое главное для кого?,ru,-0.045,-0.955,0.0,0.0,1.946,0,0.946
ru_polar_130,Есть ли польза от секса в 13 лет?,ru,-0.45,0.397,0.0,0.2,2.303,1,2.45
ru_polar_93,"Можно ли в The division начать дополнение ""выживание"" без прохождения компании?",ru,-0.064,-0.603,1.0,0.5,2.708,1,3.541
ru_content_270,Где близлежайший христианский православный храм?,ru,0.455,-0.955,0.0,0.0,1.946,0,1.446
ru_content_144,"Может быть есть какие-нибудь чаи или таблетки, которые вызывают аппетит?",ru,-0.268,0.045,1.0,0.208,2.565,0,3.55
ru_content_591,И что со всем этим делать?,ru,0.555,-0.955,0.0,0.5,2.079,0,2.179
ru_polar_155,Не нужно ли мне будет сидеть потом 2х недельный карантин дома?,ru,0.236,-0.603,1.0,0.6,2.565,1,3.798
ru_content_409,А как мне помириться то с ней после этого?,ru,0.08,-0.955,0.0,1.0,2.398,0,2.523
ru_content_79,— Что?— Петино лицо показалось из-за журнала.,ru,-0.045,0.045,0.0,0.333,2.398,0,2.731
ru_polar_124,Можно ли писать знак корня над интегралом?,ru,-0.498,-0.603,1.0,0.4,2.197,1,2.496
ru_content_507,Может кто знает что это за грибы?,ru,-0.545,0.045,0.0,0.25,2.197,0,1.947
ru_content_492,Кто-нибудь знает что случилось с Paper Manufacturing?,ru,-0.712,0.045,1.0,0.417,2.197,0,2.947
ru_polar_20,Опасно ли если ребёнок откусил яблочного червя с яблоком?,ru,-0.164,-0.603,1.0,0.8,2.398,1,3.431
ru_polar_184,Имел ли кто-нибудь такое оружие (пусть даже травматическое)?,ru,0.55,-1.603,0.0,0.8,2.485,1,2.232
ru_content_311,Чем опасны волны на море в Австралии?,ru,-0.545,0.045,0.0,0.0,2.197,0,1.697
ru_polar_187,Выпарится ли влага из всего этого при включении кабеля?,ru,0.336,-1.603,0.0,0.8,2.398,1,1.931
ru_polar_157,Пустят ли меня если мне нет данного возраста?,ru,-0.164,-0.603,1.0,0.6,2.303,1,3.136
ru_content_562,В чем причина может быть?,ru,-0.795,-0.955,1.0,0.25,1.946,0,1.446
ru_content_64,— Что?— глухо в подушку отозвался он.,ru,0.355,0.045,0.0,0.5,2.398,0,3.298
ru_content_32,А сейчас что?,ru,-0.545,-1.955,0.0,0.0,1.609,0,-0.891
ru_content_332,Вот сыллка на фрагмент этот: vm.tiktok.com/ZSxje1xw/ Какая это серия?,ru,0.705,0.045,0.0,0.0,2.485,0,3.235
ru_polar_49,Легко ли найти жилье и работу?,ru,-0.764,0.397,1.0,0.2,2.079,1,2.912
ru_polar_191,Будем ли мы вместе несмотря на запрет?,ru,-0.164,-0.603,0.0,0.0,2.197,1,1.43
ru_polar_173,"Правда ли то, что если мужчина не готов бесцельно тратить свои жизненные силы и ресурсы на паразитов, женщинам для отношений он будет не интересен?",ru,2.401,3.397,1.0,0.6,3.332,1,10.73
ru_polar_7,"""От волка, что ли?""— Ирина округлила глаза.",ru,0.169,-1.603,0.0,0.4,2.639,1,1.605
ru_content_349,Что значит ДЕЛАТЬ ЭТО?,ru,-1.045,-0.955,1.0,0.25,1.792,0,1.042
