Language,Model,Submetric,Real_MSE,Control_MSE,Raw_Difference,Normalized_Difference
Arabic,Ridge,avg_links_len,0.0396468728597336,0.0646341133557566,0.024987240496022994,0.3865952389334899
English,Ridge,avg_links_len,0.0063291946217137,0.011583596841847267,0.005254402220133567,0.4536071387732822
Finnish,Ridge,avg_links_len,0.0178179830623748,0.023668076544117633,0.005850093481742834,0.24717232390381094
Indonesian,Ridge,avg_links_len,0.0263448763543937,0.03626443428258713,0.00991955792819343,0.27353405959393234
Japanese,Ridge,avg_links_len,0.0757571722221237,0.10684284649103139,0.03108567426890768,0.29094764216635766
Korean,Ridge,avg_links_len,0.0200660760247972,0.027028437933513266,0.0069623619087160644,0.2575939433067736
Russian,Ridge,avg_links_len,0.0188515791466277,0.021161362220079333,0.002309783073451633,0.10915096341292974
Arabic,Ridge,avg_max_depth,0.027878701529974,0.05338364831267467,0.02550494678270067,0.4777670239642488
English,Ridge,avg_max_depth,0.0128012127455848,0.031778281823204135,0.018977069077619334,0.5971710233799518
Finnish,Ridge,avg_max_depth,0.0300651306229031,0.03555891165602113,0.005493781033118032,0.15449800843912442
Indonesian,Ridge,avg_max_depth,0.0182645023269505,0.03440709190572214,0.016142589578771637,0.469164601966463
Japanese,Ridge,avg_max_depth,0.0530596537897196,0.08409917916818432,0.031039525378464723,0.3690823820811717
Korean,Ridge,avg_max_depth,0.0219654392846419,0.039589877062279476,0.017624437777637576,0.4451753601030962
Russian,Ridge,avg_max_depth,0.0140535594275892,0.02710641778579173,0.01305285835820253,0.48154125201465753
Arabic,Ridge,avg_subordinate_chain_len,0.0494277986306719,0.0802329627335782,0.030805164102906304,0.38394648599975073
English,Ridge,avg_subordinate_chain_len,0.0154628104781148,0.029568586636657967,0.014105776158543167,0.47705276995064017
Finnish,Ridge,avg_subordinate_chain_len,0.0370485505749417,0.05281370432705187,0.01576515375211017,0.2985049799666306
Indonesian,Ridge,avg_subordinate_chain_len,0.0352834767870278,0.074706423196992,0.0394229464099642,0.5277049110758596
Japanese,Ridge,avg_subordinate_chain_len,0.0695824108894331,0.11006007527374763,0.040477664384314535,0.3677779093248501
Korean,Ridge,avg_subordinate_chain_len,0.0450828193154523,0.06877357292935438,0.023690753613902077,0.3444746667188239
Russian,Ridge,avg_subordinate_chain_len,0.0318440036548939,0.05567103871516533,0.02382703506027143,0.42799695515256686
Arabic,Ridge,lexical_density,0.0678255595327193,0.07065382511290137,0.0028282655801820655,0.040029900372168595
English,Ridge,lexical_density,0.0241041547426598,0.029386728271683333,0.005282573529023532,0.17976051910868046
Finnish,Ridge,lexical_density,0.0582366677730357,0.05605399617588603,-0.002182671597149667,-0.03893873311549257
Indonesian,Ridge,lexical_density,0.0378730408992781,0.06601466905416867,0.028141628154890568,0.4262935580544805
Japanese,Ridge,lexical_density,0.0770873584933994,0.06359836837673044,-0.013488990116668959,-0.21209648078966048
Korean,Ridge,lexical_density,0.0592314564206086,0.08124544405178409,0.022013987631175493,0.27095657963472086
Russian,Ridge,lexical_density,0.0430950803586705,0.06445547513520287,0.021360394776532378,0.33139767772600326
Arabic,Ridge,avg_verb_edges,0.0905166101641355,0.12594523407836367,0.03542862391422817,0.28130182276039384
English,Ridge,avg_verb_edges,0.0452925471327799,0.06651732822253,0.021224781089750094,0.3190864945558814
Finnish,Ridge,avg_verb_edges,0.0661138561069919,0.08856188457976684,0.02244802847277494,0.25347279565348696
Indonesian,Ridge,avg_verb_edges,0.0696084322401399,0.0752090374851625,0.005600605245022594,0.07446718416157767
Japanese,Ridge,avg_verb_edges,0.0941966525014839,0.10704585430013554,0.012849201798651635,0.12003455792528872
Korean,Ridge,avg_verb_edges,0.0377534540249676,0.041274282402465466,0.003520828377497863,0.08530320026321163
Russian,Ridge,avg_verb_edges,0.0419691869629715,0.051174243441687105,0.009205056478715605,0.17987674774722834
Arabic,Ridge,n_tokens,0.0382494411190466,0.0809806235313984,0.0427311824123518,0.5276716892132073
English,Ridge,n_tokens,0.0268395356320768,0.0302732372415549,0.0034337016094781007,0.11342366797709998
Finnish,Ridge,n_tokens,0.0145329849322847,0.018281939167534036,0.003748954235249336,0.20506327041646177
Indonesian,Ridge,n_tokens,0.0220306895665391,0.035056261824881606,0.013025572258342506,0.3715619287478464
Japanese,Ridge,n_tokens,0.0348731746475535,0.060991258114180304,0.026118083466626807,0.4282266717261637
Korean,Ridge,n_tokens,0.0462046010926254,0.07137440037942656,0.025169799286801166,0.35264463383227634
Russian,Ridge,n_tokens,0.0116103156783622,0.015593783651914434,0.003983467973552235,0.25545230474344743
Arabic,XGBoost,avg_links_len,0.0451553016901016,0.05756429086128867,0.012408989171187067,0.21556748090736874
English,XGBoost,avg_links_len,0.0093499133363366,0.011898236038784133,0.002548322702447533,0.21417651273187743
Finnish,XGBoost,avg_links_len,0.0215784814208745,0.0223489291965961,0.000770447775721602,0.03447358792648315
Indonesian,XGBoost,avg_links_len,0.0243570692837238,0.035647819439570065,0.011290750155846265,0.31673045738425226
Japanese,XGBoost,avg_links_len,0.0986155420541763,0.10510053982337314,0.0064849977691968375,0.06170280171819488
Korean,XGBoost,avg_links_len,0.017975041642785,0.027894863237937235,0.009919821595152235,0.35561463451310993
Russian,XGBoost,avg_links_len,0.0225561112165451,0.021012470126152,-0.001543641090393101,-0.07346309506334023
Arabic,XGBoost,avg_max_depth,0.0284759625792503,0.05090731506546329,0.022431352486212988,0.4406312227892557
English,XGBoost,avg_max_depth,0.0116611588746309,0.0299032262216011,0.0182420673469702,0.6100367636517003
Finnish,XGBoost,avg_max_depth,0.0172411613166332,0.035615292688210766,0.018374131371577566,0.5159056681755053
Indonesian,XGBoost,avg_max_depth,0.0285029225051403,0.030769156292080834,0.002266233786940533,0.07365277635265552
Japanese,XGBoost,avg_max_depth,0.0633264556527137,0.08954249074061711,0.026216035087903405,0.2927775949838709
Korean,XGBoost,avg_max_depth,0.0179967172443866,0.038200120131174665,0.020203402886788065,0.5288832290948821
Russian,XGBoost,avg_max_depth,0.0149314971640706,0.025298653791348102,0.010367156627277503,0.4097908415515363
Arabic,XGBoost,avg_subordinate_chain_len,0.0574313700199127,0.0683575049042701,0.010926134884357404,0.1598381172580639
English,XGBoost,avg_subordinate_chain_len,0.0163177829235792,0.0283880463490883,0.012070263425509101,0.4251882386368143
Finnish,XGBoost,avg_subordinate_chain_len,0.0391304194927215,0.05333115160465237,0.014200732111930868,0.2662746197044817
Indonesian,XGBoost,avg_subordinate_chain_len,0.0439334921538829,0.0717500063280264,0.027816514174143506,0.38768657450665683
Japanese,XGBoost,avg_subordinate_chain_len,0.0720668137073516,0.11204980562130602,0.03998299191395442,0.35683231838067325
Korean,XGBoost,avg_subordinate_chain_len,0.0546709597110748,0.06705345213413234,0.012382492423057542,0.18466599450074336
Russian,XGBoost,avg_subordinate_chain_len,0.0406591333448886,0.05430807297428444,0.01364893962939584,0.25132432218426876
Arabic,XGBoost,lexical_density,0.0673727840185165,0.06801026066144304,0.0006374766429265433,0.009373242165618504
English,XGBoost,lexical_density,0.0282840505242347,0.03206381822625787,0.0037797677020231686,0.117882645022227
Finnish,XGBoost,lexical_density,0.0575177185237407,0.054549237092336,-0.0029684814314046987,-0.054418385840665794
Indonesian,XGBoost,lexical_density,0.0398102588951587,0.06512730568647383,0.025317046791315134,0.3887316775116214
Japanese,XGBoost,lexical_density,0.077939473092556,0.0653172135353088,-0.012622259557247203,-0.19324553014534118
Korean,XGBoost,lexical_density,0.0626168400049209,0.07995726168155666,0.017340421676635756,0.21687112980052922
Russian,XGBoost,lexical_density,0.0518310517072677,0.0605602177480856,0.008729166040817901,0.14414026840406866
Arabic,XGBoost,avg_verb_edges,0.10744109749794,0.12418699761231737,0.016745900114377377,0.134844230365035
English,XGBoost,avg_verb_edges,0.050181571394205,0.06385549654563263,0.01367392515142763,0.21413857680451867
Finnish,XGBoost,avg_verb_edges,0.0664499998092651,0.0847879573702812,0.01833795756101611,0.21628021395693744
Indonesian,XGBoost,avg_verb_edges,0.0773122534155845,0.0729940111438433,-0.004318242271741199,-0.05915885706337735
Japanese,XGBoost,avg_verb_edges,0.0968089178204536,0.10911521563927327,0.012306297818819673,0.11278260091152979
Korean,XGBoost,avg_verb_edges,0.0371718592941761,0.0385300902028878,0.001358230908711698,0.035251173863327726
Russian,XGBoost,avg_verb_edges,0.0454679317772388,0.04833546156684554,0.0028675297896067417,0.05932559029442784
Arabic,XGBoost,n_tokens,0.0376175865530967,0.07422614594300583,0.03660855938990913,0.49320302064475807
English,XGBoost,n_tokens,0.0183263104408979,0.0256581691404183,0.0073318586995204,0.2857514368774977
Finnish,XGBoost,n_tokens,0.0114493938162922,0.018031721313794432,0.006582327497502233,0.3650415499970428
Indonesian,XGBoost,n_tokens,0.0349365174770355,0.030883834386865233,-0.0040526830901702685,-0.1312234432876592
Japanese,XGBoost,n_tokens,0.0282169114798307,0.0641166468461354,0.0358997353663047,0.5599128640094899
Korean,XGBoost,n_tokens,0.0333123840391635,0.06757754584153487,0.03426516180237137,0.5070495143863472
Russian,XGBoost,n_tokens,0.0089824656024575,0.014839583386977467,0.005857117784519967,0.39469556737420963
Arabic,LM-L2,avg_links_len,0.0494633801281452,0.05886949350436527,0.00940611337622007,0.1597790776902572
English,LM-L2,avg_links_len,0.0079782400280237,0.009373826906084968,0.0013955868780612668,0.1488812298374455
Finnish,LM-L2,avg_links_len,0.0232337228953838,0.022984088708956966,-0.00024963418642683435,-0.010861173988140379
Indonesian,LM-L2,avg_links_len,0.0298170037567615,0.034233738978703764,0.004416735221942265,0.12901702687777813
Japanese,LM-L2,avg_links_len,0.0894510969519615,0.09921508530775698,0.009763988355795478,0.09841233644569668
Korean,LM-L2,avg_links_len,0.0185571871697902,0.0247174855321645,0.006160298362374302,0.24922835918556507
Russian,LM-L2,avg_links_len,0.0248462092131376,0.017986131832003534,-0.006860077381134064,-0.3814092682745503
Arabic,LM-L2,avg_max_depth,0.0274897702038288,0.05113600442806873,0.02364623422423993,0.46241849531873924
English,LM-L2,avg_max_depth,0.0103081157431006,0.028232809777061097,0.0179246940339605,0.6348887757011047
Finnish,LM-L2,avg_max_depth,0.0204323008656501,0.0315718650817871,0.011139564216137002,0.3528319973267305
Indonesian,LM-L2,avg_max_depth,0.024341057986021,0.032900628944238,0.008559570958217001,0.26016435651501635
Japanese,LM-L2,avg_max_depth,0.0480684749782085,0.08015983055035268,0.03209135557214418,0.40034210840785
Korean,LM-L2,avg_max_depth,0.0151948248967528,0.0352698055406411,0.020074980643888303,0.5691831961124955
Russian,LM-L2,avg_max_depth,0.0098820682615041,0.02507911622524257,0.01519704796373847,0.6059642543720251
Arabic,LM-L2,avg_subordinate_chain_len,0.0633837580680847,0.0745324020584424,0.011148643990357698,0.14958117117459618
English,LM-L2,avg_subordinate_chain_len,0.0159995220601558,0.026657508686184866,0.010657986626029067,0.3998118035520896
Finnish,LM-L2,avg_subordinate_chain_len,0.0368553549051284,0.052101504057645735,0.015246149152517333,0.29262397368891324
Indonesian,LM-L2,avg_subordinate_chain_len,0.0344009436666965,0.06682699173688883,0.03242604807019233,0.4852238179126802
Japanese,LM-L2,avg_subordinate_chain_len,0.0481592938303947,0.09406326711177822,0.045903973281383514,0.48801168289035124
Korean,LM-L2,avg_subordinate_chain_len,0.0564801394939422,0.05375429491202033,-0.00272584458192187,-0.050709335623939644
Russian,LM-L2,avg_subordinate_chain_len,0.0468166582286357,0.051844229300816835,0.005027571072181138,0.09697455512376428
Arabic,LM-L2,lexical_density,0.0615373291075229,0.06440692519148186,0.00286959608395896,0.04455415431535736
English,LM-L2,lexical_density,0.0187132190912961,0.028905081252256968,0.010191862160960869,0.35259759597337464
Finnish,LM-L2,lexical_density,0.0496707670390605,0.05493432780106857,0.005263560762008068,0.09581551231624759
Indonesian,LM-L2,lexical_density,0.0322277173399925,0.05026283115148541,0.018035113811492906,0.3588161151753967
Japanese,LM-L2,lexical_density,0.0645560249686241,0.06571695705254871,0.0011609320839246068,0.01766563967647346
Korean,LM-L2,lexical_density,0.0995022505521774,0.1021591077248255,0.0026568571726481027,0.02600705146920997
Russian,LM-L2,lexical_density,0.0616419538855552,0.06254293893774343,0.0009009850521882329,0.014405863675275838
Arabic,LM-L2,avg_verb_edges,0.0938125178217887,0.11746328572432196,0.02365076790253326,0.20134604405703363
English,LM-L2,avg_verb_edges,0.0409167110919952,0.061595087250073705,0.020678376158078507,0.335714698708439
Finnish,LM-L2,avg_verb_edges,0.0568475760519504,0.0918105095624923,0.0349629335105419,0.3808162450807859
Indonesian,LM-L2,avg_verb_edges,0.0617013797163963,0.06601552913586294,0.004314149419466638,0.06535052397425951
Japanese,LM-L2,avg_verb_edges,0.0864274725317955,0.10216516753037763,0.01573769499858213,0.15404168934488077
Korean,LM-L2,avg_verb_edges,0.0424606688320636,0.039372716099023736,-0.003087952733039863,-0.07842874556262655
Russian,LM-L2,avg_verb_edges,0.0455559119582176,0.045113531251748364,-0.00044238070646923644,-0.009805942789107028
Arabic,LM-L2,n_tokens,0.0436188653111457,0.07614233593146003,0.032523470620314326,0.4271404366893934
English,LM-L2,n_tokens,0.0259333830326795,0.02645847573876373,0.0005250927060842306,0.019845916721307148
Finnish,LM-L2,n_tokens,0.0093419756740331,0.014754034268359266,0.0054120585943261655,0.3668188982001068
Indonesian,LM-L2,n_tokens,0.0418648719787597,0.03561556587616597,-0.006249306102593735,-0.17546558502881426
Japanese,LM-L2,n_tokens,0.0195338912308216,0.0591681040823459,0.0396342128515243,0.6698577462675542
Korean,LM-L2,n_tokens,0.0335282795131206,0.07020094742377597,0.03667266791065537,0.522395626504535
Russian,LM-L2,n_tokens,0.0078546898439526,0.012242173776030499,0.0043874839320778986,0.35839092079123647
Arabic,LM-L6,avg_links_len,0.0370776951313018,0.05606557428836817,0.018987879157066373,0.33867269528719973
English,LM-L6,avg_links_len,0.0086772553622722,0.008936405492325567,0.00025915013005336704,0.028999370079605357
Finnish,LM-L6,avg_links_len,0.0196425952017307,0.022996880734960163,0.0033542855332294626,0.14585828277703042
Indonesian,LM-L6,avg_links_len,0.0194035992026329,0.03353045632441833,0.014126857121785432,0.42131419224073136
Japanese,LM-L6,avg_links_len,0.0957776382565498,0.09861999750137324,0.002842359244823442,0.028821327487702112
Korean,LM-L6,avg_links_len,0.0155078684911131,0.024743108078837367,0.009235239587724268,0.37324492777134627
Russian,LM-L6,avg_links_len,0.0206141956150531,0.0163276822616656,-0.004286513353387502,-0.26253042438555096
Arabic,LM-L6,avg_max_depth,0.0304308459162712,0.048670240988333925,0.018239395072062726,0.3747545666855161
English,LM-L6,avg_max_depth,0.0113776866346597,0.0267543302228053,0.015376643588145599,0.57473476106827
Finnish,LM-L6,avg_max_depth,0.0238350685685873,0.0326697193086147,0.008834650740027403,0.270423221472178
Indonesian,LM-L6,avg_max_depth,0.0281673353165388,0.0325437566886345,0.004376421372095696,0.13447806330312528
Japanese,LM-L6,avg_max_depth,0.035219844430685,0.08069513986508049,0.04547529543439549,0.5635444155673889
Korean,LM-L6,avg_max_depth,0.0180397275835275,0.034487551699082,0.0164478241155545,0.4769206077331466
Russian,LM-L6,avg_max_depth,0.0171179380267858,0.024120258167386,0.007002320140600201,0.2903086729837879
Arabic,LM-L6,avg_subordinate_chain_len,0.0474700890481472,0.07313415408134454,0.025664065033197334,0.35091764382277674
English,LM-L6,avg_subordinate_chain_len,0.0229877550154924,0.02643856654564537,0.003450811530152968,0.13052188454299324
Finnish,LM-L6,avg_subordinate_chain_len,0.0252304524183273,0.05202292899290717,0.02679247657457987,0.5150128432451923
Indonesian,LM-L6,avg_subordinate_chain_len,0.0380056612193584,0.06724245597918824,0.029236794759829834,0.43479665241374765
Japanese,LM-L6,avg_subordinate_chain_len,0.0585844106972217,0.09223836163679754,0.033653950939575836,0.36485850726721863
Korean,LM-L6,avg_subordinate_chain_len,0.076912946999073,0.053204206128915105,-0.023708740870157896,-0.4456177921856598
Russian,LM-L6,avg_subordinate_chain_len,0.0249023120850324,0.0524322837591171,0.027529971674084698,0.5250576496069121
Arabic,LM-L6,lexical_density,0.0638815313577652,0.0658124797046184,0.0019309483468532007,0.02934015486910298
English,LM-L6,lexical_density,0.0198686495423316,0.028518804659446034,0.008650155117114436,0.30331408417741385
Finnish,LM-L6,lexical_density,0.0395857989788055,0.05247983708977697,0.012894038110971472,0.24569508645603663
Indonesian,LM-L6,lexical_density,0.0263559315353631,0.0525167845189571,0.026160852983594003,0.49814270281819445
Japanese,LM-L6,lexical_density,0.0785160735249519,0.06174261495470997,-0.01677345857024192,-0.2716674469091688
Korean,LM-L6,lexical_density,0.0680183768272399,0.09960432102282836,0.03158594419558847,0.3171141961637314
Russian,LM-L6,lexical_density,0.0295638032257556,0.06683399528264992,0.03727019205689432,0.5576532107541032
Arabic,LM-L6,avg_verb_edges,0.0633159950375557,0.11404642959435773,0.05073043455680204,0.44482264580522957
English,LM-L6,avg_verb_edges,0.038228940218687,0.060525782406330074,0.022296842187643072,0.3683858564265526
Finnish,LM-L6,avg_verb_edges,0.038667045533657,0.08520223945379253,0.04653519392013553,0.5461733660812146
Indonesian,LM-L6,avg_verb_edges,0.0479601845145225,0.06336786970496174,0.015407685190439238,0.24314664927473187
Japanese,LM-L6,avg_verb_edges,0.0780675709247589,0.10053467998901998,0.02246710906426108,0.22347620807779817
Korean,LM-L6,avg_verb_edges,0.0443187281489372,0.03910240903496737,-0.005216319113969831,-0.13340147685798928
Russian,LM-L6,avg_verb_edges,0.0379438884556293,0.045370430996020596,0.0074265425403912955,0.16368684134921865
Arabic,LM-L6,n_tokens,0.0564656630158424,0.07333016892274218,0.016864505906899772,0.2299804589931814
English,LM-L6,n_tokens,0.033796053379774,0.027081942185759503,-0.006714111194014501,-0.2479183785254878
Finnish,LM-L6,n_tokens,0.0144758811220526,0.014839859989782133,0.00036397886772953324,0.02452710928405982
Indonesian,LM-L6,n_tokens,0.058441799134016,0.033728937928875234,-0.024712861205140768,-0.7326901682244839
Japanese,LM-L6,n_tokens,0.014022066257894,0.05761309464772537,0.04359102838983137,0.7566166798775215
Korean,LM-L6,n_tokens,0.0365223623812198,0.06778599570194872,0.03126363332072892,0.4612108002100226
Russian,LM-L6,n_tokens,0.0104618724435567,0.011754311000307367,0.0012924385567506663,0.1099544292061755
Arabic,LM-L11,avg_links_len,0.0412318743765354,0.06310135001937546,0.02186947564284006,0.34657698505856005
English,LM-L11,avg_links_len,0.0104704247787594,0.011594529884556866,0.0011241051057974665,0.09695133110094432
Finnish,LM-L11,avg_links_len,0.0246499087661504,0.0266758340100447,0.0020259252438942985,0.07594608825094064
Indonesian,LM-L11,avg_links_len,0.02617241255939,0.036908691128094966,0.010736278568704967,0.2908875454684572
Japanese,LM-L11,avg_links_len,0.0754469037055969,0.1007476026813189,0.025300698975722,0.2511295385931141
Korean,LM-L11,avg_links_len,0.0141471670940518,0.0236350794633229,0.009487912369271101,0.4014334872025506
Russian,LM-L11,avg_links_len,0.014958425424993,0.01938361239929993,0.004425186974306931,0.22829526731904493
Arabic,LM-L11,avg_max_depth,0.0332675762474536,0.054501354694366365,0.021233778446912766,0.3896009294812563
English,LM-L11,avg_max_depth,0.0102100390940904,0.029407955085237802,0.019197915991147403,0.6528137007657622
Finnish,LM-L11,avg_max_depth,0.014373461715877,0.03135644209881616,0.01698298038293916,0.541610566958435
Indonesian,LM-L11,avg_max_depth,0.024705447256565,0.03516660879055653,0.010461161533991532,0.2974742772695421
Japanese,LM-L11,avg_max_depth,0.0280161574482917,0.08066743612289425,0.05265127867460255,0.6526955758751278
Korean,LM-L11,avg_max_depth,0.0131252985447645,0.0365293572346369,0.0234040586898724,0.6406917740036451
Russian,LM-L11,avg_max_depth,0.0125413918867707,0.02387389851113157,0.01133250662436087,0.4746818630847792
Arabic,LM-L11,avg_subordinate_chain_len,0.0426948443055152,0.07269766926765436,0.030002824962139164,0.41270683454343465
English,LM-L11,avg_subordinate_chain_len,0.0259517580270767,0.026247236256798066,0.00029547822972136525,0.011257498764077915
Finnish,LM-L11,avg_subordinate_chain_len,0.0288282483816146,0.052619935323794664,0.023791686942180066,0.4521420787725958
Indonesian,LM-L11,avg_subordinate_chain_len,0.0312173776328563,0.06833357860644654,0.03711620097359024,0.5431619670814185
Japanese,LM-L11,avg_subordinate_chain_len,0.0641974434256553,0.09795542806386946,0.03375798463821417,0.3446259722963294
Korean,LM-L11,avg_subordinate_chain_len,0.0400394164025783,0.05312178780635193,0.013082371403773635,0.2462712936444006
Russian,LM-L11,avg_subordinate_chain_len,0.0257543940097093,0.051217984408140134,0.025463590398430835,0.4971611181634839
Arabic,LM-L11,lexical_density,0.0512662082910537,0.06123771890997883,0.00997151061892513,0.16283282258739146
English,LM-L11,lexical_density,0.0229843109846115,0.03002291359007353,0.007038602605462029,0.2344410239980573
Finnish,LM-L11,lexical_density,0.0439771190285682,0.04752704501152033,0.003549925982952132,0.07469275613688263
Indonesian,LM-L11,lexical_density,0.0292899217456579,0.04709559182325993,0.01780567007760203,0.3780750891595767
Japanese,LM-L11,lexical_density,0.0907588452100753,0.06918575117985402,-0.02157309403022127,-0.31181411869244935
Korean,LM-L11,lexical_density,0.0679153874516487,0.09613929440577823,0.028223906954129532,0.293573061135689
Russian,LM-L11,lexical_density,0.0310334768146276,0.06115309645732243,0.030119619642694828,0.4925281202026251
Arabic,LM-L11,avg_verb_edges,0.0588316656649112,0.12033513188362117,0.06150346621870997,0.5111014984235142
English,LM-L11,avg_verb_edges,0.0290052238851785,0.06150787944595013,0.03250265556077163,0.5284307612869866
Finnish,LM-L11,avg_verb_edges,0.0437109358608722,0.0869991928339004,0.0432882569730282,0.4975707884517332
Indonesian,LM-L11,avg_verb_edges,0.04498727992177,0.07092132667700447,0.025934046755234474,0.36567345776462085
Japanese,LM-L11,avg_verb_edges,0.063604362308979,0.10583641876777006,0.04223205645879105,0.39903141990715024
Korean,LM-L11,avg_verb_edges,0.0407625883817672,0.037484099467595365,-0.0032784889141718315,-0.08746345679202065
Russian,LM-L11,avg_verb_edges,0.0281285736709833,0.05029043679436043,0.022161863123377132,0.44067748335529194
Arabic,LM-L11,n_tokens,0.0597875043749809,0.07998489836851753,0.020197393993536636,0.2525150922925525
English,LM-L11,n_tokens,0.0330370143055915,0.027278825640678364,-0.005758188664913136,-0.2110863840240427
Finnish,LM-L11,n_tokens,0.0115458443760871,0.014801605294148068,0.0032557609180609674,0.2199599876743206
Indonesian,LM-L11,n_tokens,0.0462001450359821,0.03594549745321266,-0.010254647582769436,-0.2852832290363231
Japanese,LM-L11,n_tokens,0.0125653883442282,0.06245892743269597,0.04989353908846777,0.7988215798651311
Korean,LM-L11,n_tokens,0.0409061275422573,0.06828824182351423,0.027382114281256927,0.40097846349630617
Russian,LM-L11,n_tokens,0.0113816289231181,0.012147645155588733,0.0007660162324706326,0.06305882520104843
Arabic,LM-L12,avg_links_len,0.064446173608303,0.06656966979304944,0.002123496184746443,0.03189885410800337
English,LM-L12,avg_links_len,0.0090509699657559,0.009696383650104133,0.0006454136843482335,0.06656230896364153
Finnish,LM-L12,avg_links_len,0.0192534867674112,0.02510749424497283,0.0058540074775616305,0.23315777434595067
Indonesian,LM-L12,avg_links_len,0.0306069608777761,0.03624695291121797,0.005639992033441867,0.15559906641687285
Japanese,LM-L12,avg_links_len,0.0745879858732223,0.09424260010321932,0.019654614229997022,0.20855339526360991
Korean,LM-L12,avg_links_len,0.0206895172595977,0.037073583031694064,0.016384065772096366,0.4419337013660021
Russian,LM-L12,avg_links_len,0.0169453341513872,0.018774526814619632,0.001829192663232431,0.09742949483062592
Arabic,LM-L12,avg_max_depth,0.0533161535859108,0.0544293249646822,0.0011131713787714062,0.02045168444572323
English,LM-L12,avg_max_depth,0.0172598976641893,0.0283365336557229,0.0110766359915336,0.39089594112357284
Finnish,LM-L12,avg_max_depth,0.0213652495294809,0.03274544514715663,0.011380195617675733,0.34753522410624194
Indonesian,LM-L12,avg_max_depth,0.0296769924461841,0.0389429442584514,0.0092659518122673,0.23793660157722674
Japanese,LM-L12,avg_max_depth,0.047093816101551,0.08724505951007204,0.04015124340852104,0.4602122301708759
Korean,LM-L12,avg_max_depth,0.0130961397662758,0.03524523849288617,0.022149098726610368,0.6284281132352361
Russian,LM-L12,avg_max_depth,0.0260002613067626,0.024593308568000734,-0.0014069527387618672,-0.05720876208549286
Arabic,LM-L12,avg_subordinate_chain_len,0.0746835619211196,0.0759464229146639,0.001262860993544293,0.016628314344222486
English,LM-L12,avg_subordinate_chain_len,0.0198143236339092,0.027016470208764066,0.007202146574854865,0.2665835514114834
Finnish,LM-L12,avg_subordinate_chain_len,0.0374239087104797,0.05350536232193307,0.01608145361145337,0.3005577929683734
Indonesian,LM-L12,avg_subordinate_chain_len,0.0425622910261154,0.07152553399403887,0.02896324296792347,0.40493571107539506
Japanese,LM-L12,avg_subordinate_chain_len,0.0494091026484966,0.09168291588624312,0.042273813237746524,0.46108713743570673
Korean,LM-L12,avg_subordinate_chain_len,0.0542655326426029,0.053957997510830503,-0.0003075351317723962,-0.005699528261972055
Russian,LM-L12,avg_subordinate_chain_len,0.0303089208900928,0.053334905455509805,0.023025984565417004,0.43172448453338896
Arabic,LM-L12,lexical_density,0.0724476724863052,0.060427032411098404,-0.012020640075206791,-0.19892818818948002
English,LM-L12,lexical_density,0.0230057016015052,0.02912212473650767,0.00611642313500247,0.2100266786967946
Finnish,LM-L12,lexical_density,0.0402138605713844,0.047152806073427166,0.0069389455020427634,0.1471586970081339
Indonesian,LM-L12,lexical_density,0.0297652427107095,0.04832857350508366,0.018563330794374163,0.3841067395134577
Japanese,LM-L12,lexical_density,0.0855262875556945,0.07346908003091807,-0.012057207524776431,-0.16411267869016985
Korean,LM-L12,lexical_density,0.0848872438073158,0.08402504026889795,-0.0008622035384178439,-0.010261268970042856
Russian,LM-L12,lexical_density,0.0420219898223876,0.04894462848703063,0.00692263866464303,0.14143816959357233
Arabic,LM-L12,avg_verb_edges,0.0651438310742378,0.12631531556447342,0.06117148449023563,0.4842760691122423
English,LM-L12,avg_verb_edges,0.0431839525699615,0.061106959978739404,0.017923007408777905,0.2933054993246883
Finnish,LM-L12,avg_verb_edges,0.0401978604495525,0.09403282900651294,0.05383496855696044,0.572512484477434
Indonesian,LM-L12,avg_verb_edges,0.0437094829976558,0.06750674794117606,0.02379726494352026,0.3525168323062561
Japanese,LM-L12,avg_verb_edges,0.0724358260631561,0.11129840215047193,0.03886257608731583,0.3491746093063839
Korean,LM-L12,avg_verb_edges,0.0441346205770969,0.04274102052052814,-0.0013936000565687584,-0.03260568043524895
Russian,LM-L12,avg_verb_edges,0.0294178072363138,0.048970667024453435,0.019552859788139636,0.3992769748955215
Arabic,LM-L12,n_tokens,0.0422246605157852,0.0765641679366429,0.0343395074208577,0.448506244452023
English,LM-L12,n_tokens,0.0307329408824443,0.0245616088310877,-0.006171332051356598,-0.25125927596182235
Finnish,LM-L12,n_tokens,0.0096938498318195,0.014947325301667,0.0052534754698475,0.3514659220845088
Indonesian,LM-L12,n_tokens,0.0408605113625526,0.03806449224551517,-0.002796019117037432,-0.07345478560447274
Japanese,LM-L12,n_tokens,0.0275883208960294,0.06144093101223307,0.03385261011620368,0.5509781436981077
Korean,LM-L12,n_tokens,0.0431509390473365,0.07086172203222907,0.027710782984892567,0.3910543265133925
Russian,LM-L12,n_tokens,0.0123084830120205,0.012499573019643566,0.00019109000762306677,0.015287722814432251
