Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Ind	aux_mood_dist_Pot	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_+	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound:nn	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_cop:own	dep_dist_csubj:cop	dep_dist_det	dep_dist_discourse	dep_dist_fixed	dep_dist_flat:name	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:gobj	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:cop	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	dep_dist_xcomp:ds	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
100_1.conllu	1	4	4.0	10.0	50.0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	25.0	0	0	0	0	0	0	0	0	0	0	0
43_1.conllu	1	9	9.0	5.0	0	0	22.22222222222222	11.11111111111111	11.11111111111111	0	11.11111111111111	0	0	11.11111111111111	22.22222222222222	11.11111111111111	0	0	0.5714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	2.0	9.0	5.0	2.3333333333333335	5	0	0	0	0	0	100.0	0.0	0	0	0	11.11111111111111	0	0	0	0	0	11.11111111111111	0	0	0	0	11.11111111111111	0	0	0	0	0	0	11.11111111111111	0	0	11.11111111111111	0	11.11111111111111	0	0	0	0	22.22222222222222	11.11111111111111	0	0	0	100.0	0.0	0	0	0	0	0	0
32_1.conllu	1	5	5.0	7.0	0	0	20.0	0	0	0	0	0	0	0	60.0	0	0	20.0	1.0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	1.0	0	100.0	0	0	0	0	0	1.0	5.0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0	20.0	0	0	0	100.0	0.0	0	0	0	0	0	0
32_2.conllu	1	5	5.0	5.75	0	20.0	0	0	0	0	20.0	20.0	0	0	20.0	0	0	20.0	0.5	100.0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	1.0	0	100.0	0	0	0	0	0	2.0	5.0	2.0	1.3333333333333333	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	20.0	0	20.0	20.0	0	0	0	100.0	0.0	0	0	0	0	0	0
112_1.conllu	1	7	7.0	8.333333333333334	0	0	0	14.285714285714286	14.285714285714286	0	28.571428571428573	0	0	14.285714285714286	14.285714285714286	0	0	14.285714285714286	0.6666666666666666	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	3.0	7.0	2.0	1.4	2	0	0	0	0.0	100.0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	14.285714285714286	0	0	0	14.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285714285714286	14.285714285714286	0	14.285714285714286	14.285714285714286	0	0	0	100.0	0.0	0	0	0	0	0	0
28_1.conllu	1	14	14.0	9.923076923076923	14.285714285714286	7.142857142857143	0	0	0	0	50.0	0	7.142857142857143	0	7.142857142857143	0	0	14.285714285714286	0.8461538461538461	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0.0	1.0	0	100.0	0	0	0	0	0	6.0	7.0	11.0	2.8333333333333335	11	1.0	1	100.0	100.0	0.0	0	0	14.285714285714286	0	0	0	14.285714285714286	0	0	0	7.142857142857143	0	0	0	0	0	0	0	0	7.142857142857143	0	0	0	0	21.428571428571427	0	7.142857142857143	0	0	0	7.142857142857143	7.142857142857143	0	7.142857142857143	7.142857142857143	0	0	0	0.0	100.0	100.0	0.0	1.0	100.0	0	0
113_1.conllu	1	4	4.0	8.333333333333334	0	0	0	0	0	0	25.0	0	25.0	0	25.0	25.0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	2.0	1.5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	25.0	25.0	0	0	0	0	0	0	0	0	0	0	0
115_1.conllu	1	8	8.0	4.571428571428571	0	0	12.5	12.5	0	0	25.0	0	12.5	12.5	12.5	0	0	12.5	0.7142857142857143	0	100.0	0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	1.0	8.0	3.0	2.0	3	0	0	0	0.0	100.0	100.0	0.0	0	0	0	12.5	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	12.5	12.5	0	12.5	12.5	0	0	12.5	100.0	0.0	0	0	0	0	0	0
121_1.conllu	1	6	6.0	4.6	0	0	0	16.666666666666668	16.666666666666668	0	50.0	0	0	0	16.666666666666668	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	2.0	6.0	2.0	1.5	2	0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	16.666666666666668	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	0	16.666666666666668	16.666666666666668	0	0	0	100.0	0.0	0	0	0	0	0	0
123_1.conllu	1	6	6.0	7.6	0	0	16.666666666666668	0	0	0	16.666666666666668	0	0	16.666666666666668	16.666666666666668	0	0	33.333333333333336	1.0	0	100.0	0	0	100.0	50.0	50.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	2.0	3.0	2.0	1.25	2	0	0	0	0.0	100.0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	16.666666666666668	0	16.666666666666668	16.666666666666668	0	16.666666666666668	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
126_1.conllu	1	11	11.0	6.555555555555555	9.090909090909092	0	0	18.181818181818183	0	0	27.272727272727273	0	9.090909090909092	0	18.181818181818183	9.090909090909092	0	9.090909090909092	0.5555555555555556	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	11.0	4.0	1.75	4	0	0	0	0.0	100.0	0.0	100.0	0	0	9.090909090909092	0	9.090909090909092	0	0	9.090909090909092	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	0	9.090909090909092	9.090909090909092	0	18.181818181818183	9.090909090909092	0	0	0	100.0	0.0	0	0	0	0	0	0
20_1.conllu	1	11	11.0	6.9	18.181818181818183	0	0	9.090909090909092	9.090909090909092	0	36.36363636363637	0	9.090909090909092	0	9.090909090909092	0	0	9.090909090909092	0.7	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	2.0	0.0	1.0	0	100.0	0	0	0	0	0	3.0	5.5	5.0	2.111111111111111	5	0	0	0	0	0	100.0	0.0	9.090909090909092	0	0	0	18.181818181818183	0	0	0	0	9.090909090909092	0	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	0	0	0	0	9.090909090909092	0	9.090909090909092	0	0	9.090909090909092	0	9.090909090909092	9.090909090909092	0	0	0	0.0	100.0	0.0	100.0	1.0	100.0	0	0
7_1.conllu	1	13	13.0	7.5	23.076923076923077	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	23.076923076923077	0	7.6923076923076925	0	7.6923076923076925	0	0	15.384615384615385	0.75	0	100.0	0	0	100.0	50.0	50.0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	2.0	100.0	2.5	0	50.0	0	0	50.0	0	0	5.0	6.5	7.0	2.1818181818181817	7	0	0	0	0	0	100.0	0.0	0	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	7.6923076923076925	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	0	0	0	7.6923076923076925	15.384615384615385	0	0	0	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
147_1.conllu	1	10	10.0	8.25	30.0	0	10.0	10.0	0	0	30.0	0	0	0	20.0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	10.0	8.0	3.142857142857143	8	0	0	0	100.0	0.0	100.0	0.0	0	0	0	10.0	20.0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	10.0	10.0	0	0	10.0	0	0	0	0	20.0	10.0	0	0	0	100.0	0.0	0	0	0	0	0	0
38_1.conllu	1	6	6.0	6.6	16.666666666666668	0	33.333333333333336	33.333333333333336	0	0	0	0	0	0	16.666666666666668	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	50.0	50.0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	2.0	6.0	4.0	2.0	4	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	16.666666666666668	0	0	0	0	0	16.666666666666668	0	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	16.666666666666668	0	0	0	100.0	0.0	0	0	0	0	0	0
40_1.conllu	1	5	5.0	7.0	0	0	40.0	0	0	0	0	0	0	20.0	20.0	0	0	20.0	1.0	0	100.0	0	0	100.0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	1.0	5.0	3.0	2.0	3	0	0	0	0	0	0	0	0	0	0	40.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	20.0	20.0	0	0	0	100.0	0.0	0	0	0	0	0	0
39_1.conllu	1	6	6.0	7.5	0	0	0	0	16.666666666666668	0	50.0	0	0	0	33.333333333333336	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	2.0	0	4.0	2.3333333333333335	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.333333333333336	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0
35_1.conllu	1	11	11.0	6.2	9.090909090909092	0	18.181818181818183	18.181818181818183	0	0	9.090909090909092	0	18.181818181818183	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0.5	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	100.0	0	0	50.0	0	0	0	0	0	0	50.0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	3.0	5.5	5.0	2.2222222222222223	5	0	0	0	0	0	100.0	0.0	0	0	0	18.181818181818183	9.090909090909092	0	9.090909090909092	0	0	0	9.090909090909092	0	0	0	9.090909090909092	0	0	0	0	0	0	9.090909090909092	0	0	0	0	18.181818181818183	0	0	0	0	9.090909090909092	9.090909090909092	0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
57_1.conllu	1	27	27.0	6.217391304347826	7.407407407407407	3.7037037037037037	3.7037037037037037	3.7037037037037037	7.407407407407407	0	22.22222222222222	0	11.11111111111111	0	14.814814814814815	3.7037037037037037	0	22.22222222222222	0.6521739130434783	0	100.0	0	0	100.0	66.66666666666667	33.333333333333336	0	25.0	0	0	50.0	0	0	0	25.0	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	6.0	100.0	2.5	0	16.666666666666668	33.333333333333336	33.333333333333336	16.666666666666668	0	0	5.0	4.5	19.0	2.8636363636363638	19	0	0	0	66.66666666666667	33.333333333333336	50.0	50.0	0	0	7.407407407407407	3.7037037037037037	7.407407407407407	0	3.7037037037037037	0	3.7037037037037037	7.407407407407407	3.7037037037037037	0	0	7.407407407407407	0	0	0	0	0	0	0	3.7037037037037037	0	0	3.7037037037037037	7.407407407407407	0	0	11.11111111111111	7.407407407407407	0	14.814814814814815	3.7037037037037037	0	3.7037037037037037	0	20.0	80.0	100.0	0.0	2.0	0	100.0	0
111_1.conllu	1	4	4.0	6.666666666666667	0	0	0	0	0	0	0	0	25.0	25.0	25.0	0	0	25.0	0.6666666666666666	0	100.0	0	0	100.0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	1.0	4.0	2.0	1.5	2	0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	25.0	0	25.0	25.0	0	0	0	100.0	0.0	0	0	0	0	0	0
144_1.conllu	1	11	11.0	6.3	9.090909090909092	0	0	9.090909090909092	9.090909090909092	0	36.36363636363637	0	18.181818181818183	0	9.090909090909092	9.090909090909092	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	11.0	6.0	2.2222222222222223	6	0	0	0	0	0	100.0	0.0	0	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	0	0	18.181818181818183	0	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0	9.090909090909092	0	0	0	0	9.090909090909092	9.090909090909092	0	0	0	100.0	0.0	0	0	0	0	0	0
15_1.conllu	1	13	13.0	7.25	0	15.384615384615385	7.6923076923076925	7.6923076923076925	7.6923076923076925	0	38.46153846153846	0	7.6923076923076925	0	7.6923076923076925	0	0	7.6923076923076925	0.5833333333333334	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	13.0	6.0	2.090909090909091	6	0	0	0	100.0	0.0	100.0	0.0	0	0	0	7.6923076923076925	0	0	7.6923076923076925	0	15.384615384615385	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	0	0	7.6923076923076925	0	7.6923076923076925	0	0	0	15.384615384615385	0	7.6923076923076925	7.6923076923076925	0	0	0	100.0	0.0	0	0	0	0	0	0
131_1.conllu	1	8	8.0	6.166666666666667	12.5	0	0	12.5	0	0	12.5	0	12.5	0	25.0	0	0	25.0	0.6666666666666666	0	100.0	0	0	100.0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	3.0	100.0	1.0	0	100.0	0	0	0	0	0	4.0	2.6666666666666665	3.0	1.6	3	0	0	0	0	0	0.0	100.0	0	0	0	0	12.5	0	0	0	0	0	12.5	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	25.0	12.5	0	12.5	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0
9_1.conllu	1	9	9.0	8.5	11.11111111111111	11.11111111111111	0	11.11111111111111	0	0	44.44444444444444	0	0	0	11.11111111111111	0	0	11.11111111111111	0.75	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	3.0	4.5	4.0	1.7142857142857142	4	0	0	0	0	0	0.0	100.0	0	0	0	0	0	0	0	0	11.11111111111111	0	0	0	0	0	11.11111111111111	0	11.11111111111111	0	0	0	0	0	0	0	11.11111111111111	0	0	0	0	33.333333333333336	0	11.11111111111111	11.11111111111111	0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
99_1.conllu	1	11	11.0	7.0	9.090909090909092	0	27.272727272727273	9.090909090909092	0	0	9.090909090909092	0	18.181818181818183	0	9.090909090909092	0	0	18.181818181818183	0.7	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	2.0	100.0	2.5	0	50.0	0	0	50.0	0	0	4.0	5.5	4.0	2.2222222222222223	4	0	0	0	0.0	100.0	100.0	0.0	0	0	0	27.272727272727273	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	0	0	9.090909090909092	0	0	9.090909090909092	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
16_1.conllu	1	15	15.0	6.181818181818182	0	6.666666666666667	20.0	0	0	0	20.0	0	6.666666666666667	0	26.666666666666668	6.666666666666667	0	13.333333333333334	0.7272727272727273	0	100.0	50.0	0	50.0	100.0	0	0	0	0	0	0	50.0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	2.5	0	50.0	0	0	50.0	0	0	4.0	7.5	8.0	2.4	8	0	0	0	0	0	0.0	100.0	0	0	0	20.0	0	0	0	0	6.666666666666667	0	6.666666666666667	0	0	6.666666666666667	0	0	0	0	0	0	0	6.666666666666667	0	0	0	6.666666666666667	0	0	0	13.333333333333334	0	26.666666666666668	6.666666666666667	0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
86_1.conllu	1	5	5.0	4.0	0	0	20.0	20.0	0	0	0	0	40.0	0	20.0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	1.0	5.0	3.0	2.0	3	0	0	0	0	0	0.0	100.0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	20.0	20.0	0	0	0	100.0	0.0	0	0	0	0	0	0
46_1.conllu	1	10	10.0	5.444444444444445	20.0	0	20.0	10.0	0	0	30.0	0	0	0	10.0	0	0	10.0	0.8888888888888888	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	10.0	5.0	2.0	5	0	0	0	0.0	100.0	0	0	0	0	0	20.0	20.0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	20.0	0	10.0	10.0	0	0	0	100.0	0.0	0	0	0	0	0	0
52_1.conllu	1	8	8.0	8.857142857142858	12.5	0	0	0	0	0	37.5	0	12.5	0	12.5	0	0	25.0	0.8571428571428571	0	100.0	0	0	100.0	50.0	50.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	3.0	4.0	4.0	1.8333333333333333	4	0	0	0	0.0	100.0	0.0	100.0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	12.5	0	0	12.5	12.5	0	12.5	12.5	0	12.5	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
