language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ar,0.0332675762474536,0.0569119155406951,0.052435528486967,0.054156620055437,0.054501354694366365,0.021233778446912766,38.96009294812563,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
en,0.0102100390940904,0.0291571300476789,0.0289073958992958,0.0301593393087387,0.029407955085237802,0.019197915991147403,65.28137007657622,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
fi,0.014373461715877,0.0330745726823806,0.0320907309651374,0.0289040226489305,0.03135644209881616,0.01698298038293916,54.1610566958435,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
id,0.024705447256565,0.0335699580609798,0.0354443229734897,0.0364855453372001,0.03516660879055653,0.010461161533991532,29.74742772695421,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
ja,0.0280161574482917,0.080426275730133,0.084184743463993,0.0773912891745567,0.08066743612289425,0.05265127867460255,65.26955758751278,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
ko,0.0131252985447645,0.0368014872074127,0.0368009507656097,0.0359856337308883,0.0365293572346369,0.0234040586898724,64.06917740036451,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
ru,0.0125413918867707,0.0239018648862838,0.0244228225201368,0.0232970081269741,0.02387389851113157,0.01133250662436087,47.468186308477925,single_submetric,lm_probe,mse,test,avg_max_depth,layer11
ar,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
en,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254003,3.469446951953614e-18,1.1964207609689798e-14,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
fi,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
id,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
ja,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
ko,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
ru,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.024759501218795704,3.469446951953614e-18,1.4012588223384118e-14,single_submetric,DummyRegressor,mse,test,avg_max_depth,overall
ar,0.0625984594225883,0.053910955786705,0.0553630851209163,0.0561440959572792,0.05513937895496684,-0.007459080467621469,-13.527683134975845,complexity,lm_probe,mse,test,complexity,layer6
en,0.0223067123442888,0.0396901033818721,0.0389800406992435,0.0390859209001064,0.03925202166040733,0.01694530931611853,43.170538992163294,complexity,lm_probe,mse,test,complexity,layer6
fi,0.020402418449521,0.0384797230362892,0.0375304408371448,0.03803301602602,0.038014393299818004,0.017611974850297005,46.32975386820476,complexity,lm_probe,mse,test,complexity,layer6
id,0.0430702194571495,0.0391544252634048,0.0416170954704284,0.0421061404049396,0.04095922037959093,-0.002110999077558566,-5.1539044395738305,complexity,lm_probe,mse,test,complexity,layer6
ja,0.0191846378147602,0.054281186312437,0.0517551377415657,0.0524918101727962,0.052842711408932964,0.03365807359417276,63.69482696242367,complexity,lm_probe,mse,test,complexity,layer6
ko,0.020968098193407,0.0331725999712944,0.0313130281865596,0.0332886017858982,0.032591409981250735,0.011623311787843735,35.66372794098329,complexity,lm_probe,mse,test,complexity,layer6
ru,0.0176359098404645,0.0486926473677158,0.046375248581171,0.047786246985197,0.0476180476446946,0.0299821378042301,62.96381159501524,complexity,lm_probe,mse,test,complexity,layer6
ar,0.0451553016901016,0.0596331134438514,0.0545205995440483,0.0585391595959663,0.05756429086128867,0.012408989171187067,21.556748090736875,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
en,0.0093499133363366,0.0121804606169462,0.011722857132554,0.0117913903668522,0.011898236038784133,0.002548322702447533,21.417651273187744,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
fi,0.0215784814208745,0.022873967885971,0.021670950576663,0.0225018691271543,0.0223489291965961,0.000770447775721602,3.447358792648315,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
id,0.0243570692837238,0.0352049842476844,0.0352305509150028,0.036507923156023,0.035647819439570065,0.011290750155846265,31.673045738425227,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
ja,0.0986155420541763,0.1047704666852951,0.1028134077787399,0.1077177450060844,0.10510053982337314,0.0064849977691968375,6.170280171819488,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
ko,0.017975041642785,0.0263312645256519,0.0285405851900577,0.0288127399981021,0.027894863237937235,0.009919821595152235,35.56146345131099,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
ru,0.0225561112165451,0.0215910691767931,0.0215434487909078,0.0199028924107551,0.021012470126152,-0.001543641090393101,-7.3463095063340225,single_submetric,XGBRegressor,mse,test,avg_links_len,overall
ar,0.0588316656649112,0.1115843132138252,0.1341110318899154,0.1153100505471229,0.12033513188362117,0.06150346621870997,51.11014984235142,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
en,0.0290052238851785,0.0608938485383987,0.0610585547983646,0.0625712350010871,0.06150787944595013,0.03250265556077163,52.84307612869866,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
fi,0.0437109358608722,0.0889002457261085,0.0872035175561904,0.0848938152194023,0.0869991928339004,0.0432882569730282,49.75707884517332,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
id,0.04498727992177,0.0668342933058738,0.0742165595293045,0.0717131271958351,0.07092132667700447,0.025934046755234474,36.56734577646208,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
ja,0.063604362308979,0.1089538559317588,0.1045370623469352,0.1040183380246162,0.10583641876777006,0.04223205645879105,39.90314199071502,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
ko,0.0407625883817672,0.0368307717144489,0.0376513078808784,0.0379702188074588,0.037484099467595365,-0.0032784889141718315,-8.746345679202065,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
ru,0.0281285736709833,0.0497648008167743,0.0511622130870819,0.0499442964792251,0.05029043679436043,0.022161863123377132,44.067748335529195,single_submetric,lm_probe,mse,test,avg_verb_edges,layer11
ar,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
en,0.5,0.5,0.5,0.5,0.5,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
fi,0.5,0.5,0.5,0.5,0.5,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
id,0.5,0.5,0.5,0.5,0.5,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
ja,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.4021739130434782,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
ko,0.5,0.5,0.5,0.5,0.5,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
ru,0.5,0.5,0.5,0.5,0.5,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,overall
ar,0.974025974025974,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2597402597402597,36.36363636363636,question_type,lm_probe,accuracy,test,overall,layer2
en,0.8909090909090909,0.5,0.5,0.5,0.5,0.3909090909090909,78.18181818181817,question_type,lm_probe,accuracy,test,overall,layer2
fi,0.8636363636363636,0.5,0.5,0.5,0.5,0.36363636363636365,72.72727272727273,question_type,lm_probe,accuracy,test,overall,layer2
id,0.5727272727272728,0.5,0.5,0.5,0.5,0.07272727272727275,14.54545454545455,question_type,lm_probe,accuracy,test,overall,layer2
ja,0.6413043478260869,0.4021739130434782,0.4021739130434782,0.5978260869565217,0.467391304347826,0.17391304347826092,37.20930232558141,question_type,lm_probe,accuracy,test,overall,layer2
ko,0.5909090909090909,0.5,0.5,0.5,0.5,0.09090909090909094,18.181818181818187,question_type,lm_probe,accuracy,test,overall,layer2
ru,0.990909090909091,0.5,0.5,0.5,0.5,0.49090909090909096,98.18181818181819,question_type,lm_probe,accuracy,test,overall,layer2
ar,0.0615373291075229,0.063572347164154,0.0674939304590225,0.0621544979512691,0.06440692519148186,0.00286959608395896,4.4554154315357355,single_submetric,lm_probe,mse,test,lexical_density,layer2
en,0.0187132190912961,0.0294106770306825,0.0288234502077102,0.0284811165183782,0.028905081252256968,0.010191862160960869,35.259759597337464,single_submetric,lm_probe,mse,test,lexical_density,layer2
fi,0.0496707670390605,0.0547827817499637,0.055554624646902,0.05446557700634,0.05493432780106857,0.005263560762008068,9.58155123162476,single_submetric,lm_probe,mse,test,lexical_density,layer2
id,0.0322277173399925,0.049811590462923,0.0497794076800346,0.0511974953114986,0.05026283115148541,0.018035113811492906,35.88161151753967,single_submetric,lm_probe,mse,test,lexical_density,layer2
ja,0.0645560249686241,0.063018761575222,0.0674487948417663,0.0666833147406578,0.06571695705254871,0.0011609320839246068,1.7665639676473461,single_submetric,lm_probe,mse,test,lexical_density,layer2
ko,0.0995022505521774,0.1064626947045326,0.1002015843987464,0.0998130440711975,0.1021591077248255,0.0026568571726481027,2.6007051469209967,single_submetric,lm_probe,mse,test,lexical_density,layer2
ru,0.0616419538855552,0.0617305859923362,0.0640259385108947,0.0618722923099994,0.06254293893774343,0.0009009850521882329,1.4405863675275838,single_submetric,lm_probe,mse,test,lexical_density,layer2
ar,0.027878701529974,0.0545536559811195,0.0511130313092803,0.0544842576476242,0.05338364831267467,0.02550494678270067,47.77670239642488,single_submetric,Ridge,mse,test,avg_max_depth,overall
en,0.0128012127455848,0.0327974307497045,0.0306688756061273,0.0318685391137806,0.031778281823204135,0.018977069077619334,59.71710233799518,single_submetric,Ridge,mse,test,avg_max_depth,overall
fi,0.0300651306229031,0.0345956647781879,0.0390045159729858,0.0330765542168897,0.03555891165602113,0.005493781033118032,15.449800843912442,single_submetric,Ridge,mse,test,avg_max_depth,overall
id,0.0182645023269505,0.0346850545176945,0.0320441475747925,0.0364920736246794,0.03440709190572214,0.016142589578771637,46.9164601966463,single_submetric,Ridge,mse,test,avg_max_depth,overall
ja,0.0530596537897196,0.0835598592942734,0.0821511766577538,0.0865865015525258,0.08409917916818432,0.031039525378464723,36.90823820811717,single_submetric,Ridge,mse,test,avg_max_depth,overall
ko,0.0219654392846419,0.037944766649542,0.0407887321980772,0.0400361323392192,0.039589877062279476,0.017624437777637576,44.51753601030962,single_submetric,Ridge,mse,test,avg_max_depth,overall
ru,0.0140535594275892,0.0305808059883247,0.0247708026057784,0.0259676447632721,0.02710641778579173,0.01305285835820253,48.15412520146575,single_submetric,Ridge,mse,test,avg_max_depth,overall
ar,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
en,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
fi,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
id,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
ja,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
ko,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
ru,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0,0.0,complexity,DummyRegressor,mse,test,complexity,overall
ar,0.064446173608303,0.0622466765344142,0.0728653520345687,0.0645969808101654,0.06656966979304944,0.002123496184746443,3.1898854108003367,single_submetric,lm_probe,mse,test,avg_links_len,layer12
en,0.0090509699657559,0.0094066867604851,0.0092788822948932,0.0104035818949341,0.009696383650104133,0.0006454136843482335,6.6562308963641525,single_submetric,lm_probe,mse,test,avg_links_len,layer12
fi,0.0192534867674112,0.0283926464617252,0.0251827929168939,0.0217470433562994,0.02510749424497283,0.0058540074775616305,23.315777434595066,single_submetric,lm_probe,mse,test,avg_links_len,layer12
id,0.0306069608777761,0.0363233163952827,0.0358710400760173,0.0365465022623539,0.03624695291121797,0.005639992033441867,15.559906641687284,single_submetric,lm_probe,mse,test,avg_links_len,layer12
ja,0.0745879858732223,0.0901926979422569,0.0966832041740417,0.0958518981933593,0.09424260010321932,0.019654614229997022,20.855339526360993,single_submetric,lm_probe,mse,test,avg_links_len,layer12
ko,0.0206895172595977,0.057891272008419,0.0274354927241802,0.025893984362483,0.037073583031694064,0.016384065772096366,44.19337013660021,single_submetric,lm_probe,mse,test,avg_links_len,layer12
ru,0.0169453341513872,0.016896104440093,0.0179498028010129,0.021477673202753,0.018774526814619632,0.001829192663232431,9.742949483062592,single_submetric,lm_probe,mse,test,avg_links_len,layer12
ar,0.0197158902883529,0.0394174046814441,0.0366457439959049,0.0389313958585262,0.038331514845291736,0.018615624556938836,48.56480270104795,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
en,0.014487836509943,0.0363652296364307,0.0418249927461147,0.0410831682384014,0.039757796873648936,0.025269960363705934,63.55976022518141,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
fi,0.0233207289129495,0.0483308583498001,0.0509696677327156,0.0491093061864376,0.0494699440896511,0.0261492151767016,52.858792662698605,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
id,0.0245006047189235,0.0477568656206131,0.0463078022003173,0.0392568111419677,0.044440492987632696,0.019939888268709197,44.86873778438563,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ja,0.0190480258315801,0.0320644006133079,0.0331432856619358,0.030340950936079,0.03184954573710757,0.01280151990552747,40.19372838530803,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ko,0.0144669394940137,0.0349931642413139,0.0312858670949935,0.0364529080688953,0.034243979801734235,0.019777040307720536,57.75333481162419,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ru,0.0136380083858966,0.0391948632895946,0.0389299467206001,0.0379498153924942,0.0386915418008963,0.025053533414999697,64.75196450925439,single_submetric,XGBRegressor,mse,val,avg_max_depth,overall
ar,0.0938125178217887,0.1134155094623565,0.1172750741243362,0.1216992735862732,0.11746328572432196,0.02365076790253326,20.134604405703364,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
en,0.0409167110919952,0.0646679177880287,0.0604472123086452,0.0596701316535472,0.061595087250073705,0.020678376158078507,33.5714698708439,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
fi,0.0568475760519504,0.0985418111085891,0.0890585780143737,0.0878311395645141,0.0918105095624923,0.0349629335105419,38.08162450807859,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
id,0.0617013797163963,0.0655482187867164,0.0655271038413047,0.0669712647795677,0.06601552913586294,0.004314149419466638,6.535052397425951,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ja,0.0864274725317955,0.1046293526887893,0.1005779728293418,0.1012881770730018,0.10216516753037763,0.01573769499858213,15.404168934488077,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ko,0.0424606688320636,0.0390971936285495,0.0429832935333251,0.0360376611351966,0.039372716099023736,-0.003087952733039863,-7.842874556262655,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ru,0.0455559119582176,0.046232808381319,0.0443689078092575,0.0447388775646686,0.045113531251748364,-0.00044238070646923644,-0.9805942789107027,single_submetric,lm_probe,mse,test,avg_verb_edges,layer2
ar,0.0304308459162712,0.0482044667005538,0.0477779582142829,0.0500282980501651,0.048670240988333925,0.018239395072062726,37.47545666855161,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
en,0.0113776866346597,0.0270242262631654,0.0262743756175041,0.0269643887877464,0.0267543302228053,0.015376643588145599,57.47347610682701,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
fi,0.0238350685685873,0.0300902128219604,0.0339420698583126,0.0339768752455711,0.0326697193086147,0.008834650740027403,27.042322147217803,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
id,0.0281673353165388,0.0355903469026088,0.0293984580785036,0.0326424650847911,0.0325437566886345,0.004376421372095696,13.447806330312527,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ja,0.035219844430685,0.0856339186429977,0.0796683132648468,0.076783187687397,0.08069513986508049,0.04547529543439549,56.35444155673889,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ko,0.0180397275835275,0.0338152013719081,0.0351664721965789,0.034480981528759,0.034487551699082,0.0164478241155545,47.69206077331466,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ru,0.0171179380267858,0.0240758657455444,0.0238261073827743,0.0244588013738393,0.024120258167386,0.007002320140600201,29.030867298378787,single_submetric,lm_probe,mse,test,avg_max_depth,layer6
ar,0.0533161535859108,0.0562560521066188,0.0538057722151279,0.0532261505722999,0.0544293249646822,0.0011131713787714062,2.045168444572323,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
en,0.0172598976641893,0.0270406939089298,0.0289990715682506,0.0289698354899883,0.0283365336557229,0.0110766359915336,39.08959411235728,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
fi,0.0213652495294809,0.0347876362502574,0.0308553781360387,0.0325933210551738,0.03274544514715663,0.011380195617675733,34.75352241062419,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
id,0.0296769924461841,0.0384053587913513,0.0397600643336772,0.0386634096503257,0.0389429442584514,0.0092659518122673,23.793660157722673,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ja,0.047093816101551,0.083739086985588,0.0827429965138435,0.0952530950307846,0.08724505951007204,0.04015124340852104,46.02122301708759,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ko,0.0130961397662758,0.0373022183775901,0.0346234627068042,0.0338100343942642,0.03524523849288617,0.022149098726610368,62.842811323523605,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ru,0.0260002613067626,0.0255182143300771,0.0232960116118192,0.0249656997621059,0.024593308568000734,-0.0014069527387618672,-5.720876208549286,single_submetric,lm_probe,mse,test,avg_max_depth,layer12
ar,0.0274897702038288,0.0507643707096576,0.0519679673016071,0.0506756752729415,0.05113600442806873,0.02364623422423993,46.241849531873925,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
en,0.0103081157431006,0.0285752434283494,0.0277460105717182,0.0283771753311157,0.028232809777061097,0.0179246940339605,63.48887757011047,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
fi,0.0204323008656501,0.0312119610607624,0.0316125229001045,0.0318911112844944,0.0315718650817871,0.011139564216137002,35.28319973267305,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
id,0.0243410579860021,0.0322232730686664,0.0328550674021244,0.0336235463619232,0.032900628944238,0.008559570958235903,26.016435651559082,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ja,0.0480684749782085,0.0810370370745658,0.083924688398838,0.0755177661776542,0.08015983055035268,0.03209135557214418,40.034210840785,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ko,0.0151948248967528,0.0358258448541164,0.0351521894335746,0.0348313823342323,0.0352698055406411,0.020074980643888303,56.918319611249544,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ru,0.0098820682615041,0.0247133318334817,0.0254829954355955,0.0250410214066505,0.02507911622524257,0.01519704796373847,60.596425437202505,single_submetric,lm_probe,mse,test,avg_max_depth,layer2
ar,0.0574313700199127,0.0670000463724136,0.0718803033232688,0.0661921650171279,0.0683575049042701,0.010926134884357404,15.98381172580639,single_submetric,XGBRegressor,mse,test,avg_subordinate_chain_len,overall
